City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
330,tongouson,5.0214,120.1328,300.82,74,96,0.99,PH,1702221546
331,chebba,35.2372,11.115,293.19,56,3,7.78,TN,1702221546
332,upington,-28.4478,21.2561,304.36,11,0,6.69,ZA,1702221547
333,boudouaou,36.7273,3.41,294.16,49,0,3.6,DZ,1702221548
334,cordoba,-31.4135,-64.1811,304.5,42,0,3.09,AR,1702221430
335,port douglas,-16.4833,145.4667,297.96,82,29,3.36,AU,1702221548
336,guarapari,-20.6667,-40.4975,298.65,68,92,4.2,BR,1702221400
337,sacaba,20.5833,-89.9833,300.72,72,62,1.96,MX,1702221549
338,vilyuchinsk,52.9306,158.4028,274.3,99,100,6.38,RU,1702221399
339,dombarovskiy,50.7587,59.5386,254.82,66,8,1.34,RU,1702221549
340,ascension,30.2169,-90.9001,285.41,67,75,6.17,US,1702221550
341,caburan,5.9181,125.6411,299.84,83,18,3.85,PH,1702221551
342,saipan,15.1355,145.701,299.54,89,40,4.12,MP,1702221551
343,quibdo,5.6947,-76.6611,302.04,78,93,1.22,CO,1702221551
344,cockburn town,21.4612,-71.1419,299.56,78,76,11.76,TC,1702221552
345,santana,-0.0583,-51.1817,306.25,58,75,4.63,BR,1702221539
346,tan-tan,28.438,-11.1032,303.12,17,0,6.17,MA,1702221553
347,mangrol,21.1167,70.1167,297.72,52,8,4.38,IN,1702221554
348,vila vicosa,38.7777,-7.4179,290.19,72,28,1.58,PT,1702221554
349,agat village,13.3886,144.6585,300.67,84,20,4.12,GU,1702221554
350,santa cruz,-17.8,-63.1667,308.18,43,75,7.2,BO,1702221482
351,lihue,21.9789,-159.3672,296.92,77,0,5.14,US,1702221555
352,muzaffarabad,34.37,73.4711,285.4,28,100,2.43,PK,1702221555
353,krasnokamsk,58.0802,55.7541,244.24,100,21,0.71,RU,1702221556
354,umluj,25.0213,37.2685,300.04,65,100,2.46,SA,1702221556
355,margate,51.3813,1.3862,284.76,93,100,6.71,GB,1702221272
356,el salto,20.3333,-104.5,290.4,57,39,0.61,MX,1702221556
357,al hilaliyya,14.9398,33.234,304.54,17,75,2.38,SD,1702221557
358,sambhar,26.9167,75.2,290.36,26,0,2.14,IN,1702221557
359,pekanbaru,0.5333,101.45,299.33,100,40,2.06,ID,1702221558
360,nizhniy odes,63.6445,54.856,241.88,100,96,1.29,RU,1702221559
361,talara,-4.5772,-81.2719,301.57,57,0,9.77,PE,1702221271
362,berriane,32.8265,3.7669,293.62,30,12,1.87,DZ,1702221560
363,chamzinka,54.4019,45.7839,259.17,85,100,5.51,RU,1702221560
364,acarau,-2.8856,-40.12,303.59,60,96,8.12,BR,1702221560
365,samut songkhram,13.4,99.9583,298.37,82,99,2.61,TH,1702221560
366,yanykurgan,43.915,67.2481,270.51,35,100,3.12,KZ,1702221561
367,praia da vitoria,38.7333,-27.0667,292.29,77,20,6.58,PT,1702221561
368,dimapur,25.9,93.7333,290.01,94,0,0.36,IN,1702221562
369,yigou,35.8114,114.3167,272.06,87,100,8.1,CN,1702221562
370,rio grande,-32.035,-52.0986,299.21,83,100,7.89,BR,1702221563
371,mulanje,-16.0316,35.5,308.7,28,86,2.33,MW,1702221564
372,tindouf,27.6711,-8.1474,298.4,19,6,7.2,DZ,1702221565
373,yegorlykskaya,46.5656,40.6562,273.19,94,100,6.25,RU,1702221565
374,el jadid,33.2549,-8.506,294.02,66,2,5.78,MA,1702221565
375,mao,39.8885,4.2658,291.46,82,20,2.06,ES,1702221566
376,yemel'yanovo,56.1681,92.6767,237.08,70,45,0.0,RU,1702221566
377,mugia,43.1041,-9.2179,291.02,84,100,10.9,ES,1702221566
378,novokhopersk,51.0969,41.6252,268.15,68,100,6.07,RU,1702221567
379,trinity beach,-16.7888,145.6968,298.16,77,75,0.51,AU,1702221567
380,kununurra,-15.7667,128.7333,302.14,70,40,2.57,AU,1702221567
381,sao joao da barra,-21.6403,-41.0511,299.2,74,100,4.33,BR,1702221569
382,kodoli,16.8833,74.2,296.85,56,17,2.8,IN,1702221570
383,la'ie,21.6477,-157.9253,299.13,81,33,2.68,US,1702221570
384,saint-paul,-21.0096,55.2707,300.21,98,52,0.45,RE,1702221571
385,canto do buriti,-8.11,-42.9444,308.52,36,54,3.64,BR,1702221572
386,keflavik,64.0049,-22.5624,274.39,80,75,4.12,IS,1702221572
387,rundu,-17.9333,19.7667,306.79,18,93,4.62,NA,1702221573
388,divnomorskoye,44.5011,38.1353,282.69,79,95,9.26,RU,1702221574
389,bambanglipuro,-7.95,110.2833,299.37,81,100,1.26,ID,1702221574
390,bichura,50.5881,107.6022,247.89,95,11,0.92,RU,1702221575
391,castillos,-34.1667,-53.8333,293.73,70,90,4.16,UY,1702221575
392,malanje,-9.5402,16.341,296.81,85,96,1.07,AO,1702221576
393,mount gambier,-37.8333,140.7667,288.05,88,100,5.01,AU,1702221576
394,babolsar,36.7025,52.6576,289.33,66,22,3.26,IR,1702221577
395,selfoss,63.9331,-20.9971,270.4,78,44,2.93,IS,1702221577
396,ar ruways,24.1103,52.7306,296.79,60,21,3.57,AE,1702221288
397,trondheim,63.4305,10.3951,274.18,82,65,2.96,NO,1702221314
398,shingu,33.7333,135.9833,285.35,78,68,2.25,JP,1702221578
399,dryden,49.7833,-92.7503,266.31,93,100,3.09,CA,1702221579
400,rio do sul,-27.2142,-49.6431,293.37,98,100,1.15,BR,1702221579
401,corinto,37.9407,22.9573,284.76,61,89,1.72,GR,1702221579
402,oranjemund,-28.55,16.4333,293.06,68,3,8.68,NA,1702221400
403,miquelon,47.0975,-56.3814,277.15,75,41,1.24,PM,1702221580
404,puerto san jose,13.9256,-90.8244,300.67,62,1,0.9,GT,1702221580
405,zouerate,22.7187,-12.4521,301.7,13,93,8.33,MR,1702221581
406,enewetak,11.3474,162.3373,300.74,74,73,8.68,MH,1702221581
407,smithers,54.7804,-127.1743,266.33,100,75,0.0,CA,1702221581
408,alnashi,56.1874,52.4792,241.63,100,8,2.01,RU,1702221582
409,elliot lake,46.3834,-82.6331,272.87,95,100,4.02,CA,1702221582
410,tumayr,25.7039,45.868,294.92,18,16,2.76,SA,1702221582
411,planaltina,-15.4528,-47.6142,306.19,27,7,4.38,BR,1702221583
412,tralee,52.2704,-9.7026,284.29,76,100,18.52,IE,1702221583
413,machico,32.7,-16.7667,297.6,86,40,3.09,PT,1702221583
414,kapa'a,22.0752,-159.319,297.33,84,0,5.14,US,1702221583
415,micco,27.8806,-80.5003,299.87,78,88,2.68,US,1702221584
416,stephenville,32.2207,-98.2023,277.7,42,0,3.09,US,1702221584
417,formosa do rio preto,-11.0483,-45.1931,308.97,31,23,3.64,BR,1702221585
418,camana,-16.6228,-72.7111,295.59,71,13,3.56,PE,1702221585
419,santanyi,39.3546,3.1291,294.16,73,31,5.18,ES,1702221585
420,north bend,43.4065,-124.2243,285.33,100,100,4.12,US,1702221586
421,calama,-22.4667,-68.9333,298.42,9,0,8.75,CL,1702221404
422,xuddur,4.1213,43.8894,302.25,40,17,4.84,SO,1702221586
423,rabo de peixe,37.8,-25.5833,290.92,99,75,5.14,PT,1702221586
424,arno,60.1167,18.6333,271.92,86,100,4.01,SE,1702221587
425,lensk,60.7253,114.9278,246.13,93,100,4.49,RU,1702221587
426,lucea,18.451,-78.1736,303.07,70,2,6.3,JM,1702221588
427,novyy urgal,51.0736,132.5642,245.91,86,45,1.82,RU,1702221588
428,nurota,40.5614,65.6886,277.4,66,100,2.92,UZ,1702221589
429,lata,40.1629,-8.3327,290.97,76,92,2.27,PT,1702221590
430,poronaysk,49.2167,143.1167,258.25,77,25,3.1,RU,1702221591
431,port saint john's,-31.6229,29.5448,291.14,90,100,2.92,ZA,1702221591
432,cartersville,34.1651,-84.7999,288.68,98,75,0.0,US,1702221550
433,hamina,60.5697,27.1979,263.75,88,100,4.67,FI,1702221592
434,polokwane,-23.9045,29.4688,292.62,77,100,2.57,ZA,1702221592
435,quchan,37.106,58.5095,281.75,44,0,1.57,IR,1702221593
436,changzhi,35.2089,111.7386,272.56,98,100,0.96,CN,1702221593
437,hami,42.8,93.45,270.65,87,30,3.13,CN,1702221594
438,touros,-5.1989,-35.4608,302.88,54,51,7.16,BR,1702221594
439,amga,60.8953,131.9608,244.57,91,100,3.96,RU,1702221594
440,xiangxiang,27.7333,112.5333,283.44,81,100,4.88,CN,1702221595
441,fuglafjordur,62.244,-6.814,280.41,85,100,12.33,FO,1702221595
442,sligo,54.2697,-8.4694,282.37,90,100,6.69,IE,1702221596
443,aras-asan,8.8908,126.3033,298.66,86,81,1.63,PH,1702221462
444,buala,-8.145,159.5921,299.48,85,100,1.88,SB,1702221596
445,idil,37.3411,41.8895,284.11,87,75,0.0,TR,1702221596
446,erenhot,43.6475,111.9767,261.94,40,100,7.49,CN,1702221597
447,luganville,-15.5333,167.1667,298.37,82,100,5.23,VU,1702221597
